,nces_district_id,state_district_id,lea_name,students,teachers,schools,locale,student_teacher_ratio,percent_of_inexperienced_teachers,percent_of_out_of_field_teachers,student_school_psychologists_ratio,student_support_services_staff_ratio,student_school_counselors_ratio,student_librarians_media_specialists_ratio,percent_title_1_schools,percent_title_1_schoolwide_schools
73,5102360,VA-143,MANASSAS CITY PBLC SCHS,7789,515.6,11,Suburb,15.1,5.5,5.4,1112.7,239.7,165.7,268.6,45.5,100.0
74,5102390,VA-144,MANASSAS PARK CITY PBLC SCHS,3640,260.1,4,Suburb,14.0,12.8,2.1,3640.0,227.5,182.0,520.0,50.0,100.0
75,5102400,VA-116,MARTINSVILLE CITY PBLC SCHS,1930,139.1,5,Town,13.9,3.5,4.6,1930.0,57.6,158.2,306.3,60.0,100.0
76,5102430,VA-057,MATHEWS CO PBLC SCHS,1008,93.4,3,Rural,10.8,5.6,1.9,1008.0,129.2,157.5,234.4,33.3,100.0
77,5102460,VA-058,MECKLENBURG CO PBLC SCHS,4199,339.6,9,Rural,12.4,3.7,6.6,1399.7,276.2,161.5,1615.0,44.4,100.0
78,5102490,VA-059,MIDDLESEX CO PBLC SCHS,1208,95.1,3,Rural,12.7,1.8,6.4,6040.0,127.2,151.0,236.9,33.3,100.0
79,5102520,VA-060,MONTGOMERY CO PBLC SCHS,10016,758.4,21,City,13.2,4.1,0.4,2003.2,33.8,154.1,541.4,33.3,100.0
80,5102580,VA-062,NELSON CO PBLC SCHS,1695,135.2,4,Rural,12.5,2.5,0.6,1695.0,99.7,141.2,413.4,50.0,0.0
81,5102610,VA-063,NEW KENT CO PBLC SCHS,3354,214.4,4,Rural,15.6,4.5,0.4,1677.0,33.9,167.7,335.4,50.0,100.0
82,5102640,VA-117,NEWPORT NEWS CITY PBLC SCHS,28650,1791.1,45,City,16.0,11.9,6.3,1790.6,276.8,183.4,286.2,40.0,100.0
83,5102670,VA-118,NORFOLK CITY PBLC SCHS,29837,2157.5,51,City,13.8,8.4,4.2,1297.3,121.1,174.5,426.9,64.7,100.0
84,5102710,VA-065,NORTHAMPTON CO PBLC SCHS,1520,126.8,5,Rural,12.0,0.0,5.8,760.0,138.2,190.0,152.0,40.0,100.0
85,5102730,VA-066,NORTHUMBERLAND CO PBLC SCHS,1279,101.9,3,Rural,12.6,1.7,1.7,1279.0,120.7,127.9,581.4,33.3,100.0
86,5102760,VA-119,NORTON CITY PBLC SCHS,818,53.8,2,Town,15.2,9.8,11.5,2726.7,282.1,204.5,371.8,50.0,0.0
87,5102790,VA-067,NOTTOWAY CO PBLC SCHS,1990,148.2,5,Rural,13.4,8.4,10.1,inf,52.5,165.8,1809.1,80.0,75.0
88,5102820,VA-068,ORANGE CO PBLC SCHS,5089,362.2,11,Town,14.1,1.2,7.9,1696.3,181.8,159.0,1454.0,36.4,100.0
89,5102850,VA-069,PAGE CO PBLC SCHS,3352,233.1,9,Rural,14.4,6.8,4.0,1117.3,101.0,167.6,360.4,44.4,100.0
90,5102880,VA-070,PATRICK CO PBLC SCHS,2558,181.0,7,Rural,14.1,3.7,6.0,2558.0,196.8,213.2,511.6,85.7,100.0
91,5102910,VA-120,PETERSBURG CITY PBLC SCHS,4209,308.2,7,Suburb,13.7,11.0,10.4,4209.0,103.9,210.4,601.3,71.4,100.0
92,5102940,VA-071,PITTSYLVANIA CO PBLC SCHS,8723,633.2,20,Rural,13.8,3.3,1.7,2180.8,234.5,140.7,541.8,60.0,100.0
93,5102980,VA-142,POQUOSON CITY PBLC SCHS,2114,144.9,4,Suburb,14.6,4.0,1.7,1057.0,63.9,151.0,302.0,25.0,0.0
94,5103000,VA-121,PORTSMOUTH CITY PBLC SCHS,13991,940.1,24,City,14.9,6.8,4.8,1399.1,124.0,199.9,329.2,50.0,100.0
95,5103030,VA-072,POWHATAN CO PBLC SCHS,4346,318.1,6,Rural,13.7,8.5,0.0,1448.7,141.6,182.6,543.2,50.0,0.0
96,5103060,VA-073,PRINCE EDWARD CO PBLC SCHS,2055,162.7,4,Town,12.6,14.7,5.9,inf,336.9,186.8,685.0,50.0,100.0
97,5103090,VA-074,PRINCE GEORGE CO PBLC SCHS,6353,424.2,7,Rural,15.0,6.9,3.6,2117.7,635.3,207.6,226.9,71.4,0.0
98,5103130,VA-075,PRINCE WILLIAM CO PBLC SCHS,92237,5696.9,95,Suburb,16.2,5.6,2.6,1787.5,159.9,166.8,446.0,32.6,96.8
99,5103150,VA-077,PULASKI CO PBLC SCHS,4096,269.4,9,Rural,15.2,16.2,4.5,2048.0,178.9,204.8,259.2,44.4,100.0
100,5103180,VA-122,RADFORD CITY PBLC SCHS,1642,117.1,4,Suburb,14.0,4.5,1.3,1094.7,82.1,164.2,547.3,50.0,0.0
